FACILITYID,npl_prox
10001733,0.070821347422789
10001734,0.017890911728454466
10001735,0.021647740746659143
10001737,0.03130867382845546
10001738,0.6430870658741148
10001739,0.018460595043877124
10001742,0.011744049512130659
10001743,0.010181479974947063
10001745,0.01613392299090686
10001747,0.04200747952142053
10001748,0.04171594236638539
10001749,0.02796575558636815
10001750,0.027600454696567227
10001751,0.011408839146946122
10001752,0.020780311826143105
10001753,0.020557066845154095
10001754,0.01921930251122358
10001759,0.02118078769237527
10001760,0.03929441434894869
10001761,0.04146812295714308
10001763,0.015847891910208953
10001766,0.20694003668840602
10001768,0.08351500968539503
10001769,0.02293740070034106
10001770,0.02276581509560608
10001771,0.015625518330285502
10001775,0.020816559643917137
10001776,0.020180028307665368
10001777,0.022612121325629533
10001778,0.029895665459159837
10001782,0.013250964767577256
10001784,0.020112830166427825
10001786,0.023439491341553702
10001787,0.036101785007145365
10001788,0.033541374416948336
10001790,0.030025775384747003
10001793,0.02935348334635723
10001794,0.01953090782230341
10001798,0.02363535664524721
10001799,0.01611810498329396
10001801,0.3406991487726666
10001802,0.11802591221675122
10001804,0.033819854677042405
10001807,0.015291590392077763
10001808,0.018331360282270427
10001811,0.020374288284842192
10001812,0.020256663710686757
10001815,0.617829627914132
10001816,0.011178305596950287
10001820,0.009269846181153667
10001821,0.01630106513775346
10001830,0.03103335136190804
10001832,0.03060450750099113
10001852,0.42391241955114545
10001853,0.014993436948218362
10001856,2.9071760415728085
10001860,0.025047861655199198
10001861,0.012443402376761366
10001862,0.012461330073677447
10001863,0.028317497409904184
10001866,0.26830075069182674
10001867,0.17838952723268753
10001869,0.027199978692702534
10001871,0.07822897919648764
10001873,0.06043784151829958
10001875,0.013478844850670578
10001879,0.03324217570175564
10001906,0.03225058356656945
10001907,0.032652130332622424
10001908,0.03263883375489623
10001909,0.04283801929658517
10001910,0.009785034706732847
10001913,0.02237559888781616
10001914,0.2686517397734366
10001918,0.06610325737792655
10001919,0.0058487452667323634
10001921,0.10735471763682702
10001922,0.10807060003074073
10001925,0.08915916717566127
10001926,0.08602130651397258
10001927,0.08814155707525508
10001928,0.09179583849850738
10001931,0.020533058792456874
10001933,0.11292586196927601
10001936,0.37773127543241936
10001938,0.04390437841148254
10001940,0.11560122455360985
10001941,0.11922770230439186
10001944,0.03640704374554096
10001949,0.3166052970985752
10001954,0.012681008067271498
10001957,0.01870436059545579
10001958,0.001546840415609746
10001960,0.033732723616360955
10001966,0.012420965601252285
10001969,0.02422550465711157
10001972,0.36470286490060344
10001974,0.01596563106010841
10001975,0.01604641979725307
10001977,0.03306958137803136
10001978,0.008575536318774283
10001979,0.012685429822321148
10001980,0.012729145737677305
10001984,0.02196169852016677
10001989,0.08107485387534898
10001990,0.0808588940297231
10002020,0.01181368449558484
10002066,0.017697297031258573
10002084,0.04050759313320262
10002088,0.04332608507529455
10002095,0.2279283509907218
10002096,0.23610662919016082
10002097,0.04220440754136102
10002098,0.043119888000775645
10002101,0.23802144704882755
10002102,0.010648764692870082
10002105,0.017036902158498773
10002106,0.017146660032832738
10002108,0.023814559182615
10002115,0.029637810247216043
10002117,0.026359567615979258
10002118,0.02639947164033788
10002121,0.06325831403545429
10002126,0.0140162775971546
10002129,0.020924406530103423
10002134,0.10979884283781256
10002135,0.011035365673803955
10002136,0.011029051998184443
10002137,0.026463743267441737
10002138,0.021590666102522135
10002139,0.015802093637849384
10002142,0.011048409142087157
10002144,0.01204820180284928
10002146,0.02384528082477045
10002147,0.012387010476349316
10002152,0.02612625168764668
10002153,0.026498071263227382
10002157,0.022475057822239675
10002165,0.020695067634431418
10002174,0.04742901450252384
10002175,0.04864556971165574
10002176,0.013506631684862562
10002177,0.013582051506333888
10002178,0.04626968263928034
10002182,0.04266867644326384
10002184,0.14368950476964984
10002187,0.008892420897056223
10002190,0.4216063026365774
10002192,0.014685911698605435
10002204,0.5255587926612845
10002206,0.16986653168199242
10002210,0.08710591515807659
10002217,0.012670563153569719
10002223,0.018109500758908357
10002225,0.13629107553892128
10002226,0.1284658173296123
10002227,0.1365925017738672
10002228,0.01493074144931668
10002230,0.3032068084101685
10002233,0.008049999937627943
10002237,0.013226620658625524
10002244,0.06633488770273618
10002245,0.20991185409833701
10002246,0.03343028100911763
10002247,0.033961717549580835
10002248,0.008143708780798705
10002249,0.011518535707028033
10002250,0.017889549595866434
10002258,0.026482774181632442
10002259,0.02243710913776472
10002260,2.3495055552794115
10002261,0.0526640994958735
10002262,0.05154681545711432
10002281,0.0430543879644048
10002287,0.03172689084338681
10002290,0.062061902014684055
10002294,1.2931673896633096
10002298,0.23320824777841576
10002300,0.18003639172753935
10002301,0.18042588436508405
10002305,0.16801571147023034
10002309,0.01367542965682885
10002310,0.0073456328324884804
10002322,0.18232561923086976
10002323,0.17570288063827427
10002330,0.05931249431211655
10002340,0.13151236373385333
10002341,0.05510097117360926
10002344,0.015806038994055086
10002345,0.026551256394472908
10002346,0.010690554483730134
10002347,0.03351367819723133
10002348,0.04013121216115221
10002349,0.03571391011467395
10002353,0.02603911758490846
10002359,0.026872057558706166
10002361,0.15746227919207526
10002362,0.09169581346115172
10002364,0.1051331335521514
10002377,0.037529827170978
10002380,0.07008944904218714
10002395,0.6233831573561455
10002396,0.6169716861437765
10002397,0.2509738730161828
10002398,0.044898918826421025
10002399,0.0729413437777488
10002400,0.14278286791029304
10002401,0.1590490849213952
10002405,0.024268230794201325
10002416,0.057924786801751206
10002425,0.1104962793362883
10002428,0.03743967662851649
10002431,0.01558283601727267
10002432,0.015473487816346358
10002436,0.07594300899743854
10002440,0.26590936445246643
10002455,0.012499506999946574
10002459,0.3901224434597932
10002460,0.5064734023583619
10002463,0.15878093211720576
10002469,0.6977270222224081
10002470,0.8546174144322433
10002471,0.16574948069720138
10002472,0.772392697157857
10002476,0.058669074511779544
10002479,0.06009317324129817
10002485,0.06762972526587982
10002488,1.7526021939481649
10002491,0.0450217837863781
10002492,0.08757581747081965
10002493,0.236268701524388
10002497,0.27556557129287707
10002505,0.19581654484687802
10002506,0.01792473977040657
10002510,0.018790134324321302
10002517,0.01621131584322929
10002522,0.010479283288971852
10002531,0.024598443288716323
10002537,0.024877693153393655
10002556,0.02390987486906588
10002558,0.023405130293338745
10002560,0.06847032288318598
10002564,0.028580985209334987
10002568,0.05800466136618778
10002569,0.05861773745739575
