FACILITYID,trafficProx
10005188,0
10000302,8.451468386781592
10002136,44.4682756898356
10006344,124.15940472920317
10003650,122.47924224897788
10006345,565.2596334876047
10001801,322.7253304259971
10000117,0
10001411,303.2081332024985
10004534,0
10001095,706.4023682672286
10001426,185.05950177970678
10000103,0
10004500,365.9953009640603
10005191,0
10001788,0
10000636,63.183072928572756
10004173,793.5877227417593
10004183,0
10001747,0
10001753,90.58465182921329
10000638,443.32956225606205
10000128,0
10003694,0
10003691,0
10001793,0
10003692,0
10000948,0
10001777,92.37984067813146
10006582,0
10000126,0
10003690,0
10000442,0
10000972,0
10001021,0
10004619,419.685358200676
10000471,254.47284769473458
10004174,548.9948637454519
10000967,0
10000960,0
10002416,0
10000971,79.63219150404575
10000963,0
20000261,0
20000262,0
10002165,0
10004657,0
20000260,0
10002097,5.5255163588141345
10002206,230.02965393420504
10006564,67.03753109765353
10000449,235.0017135207459
10002096,341.99457204492876
10002600,1857.815418307679
10001632,0
10002560,0
10001609,20.767173556279925
10004068,0
10001630,0
10005841,37.637147051267775
10001608,45.5848926666638
10005864,0
10005865,0
10006556,0
10004060,772.9676577426851
10004185,34.07268159765091
10005867,32.50500978411536
10005848,406.3320361696535
10001768,761.2273331877116
10006216,37.77724521957052
10011326,24.925193095582433
10000954,0
10001815,1090.407724866484
10004259,0
10000508,0
10004260,0
10006567,0
10005263,0
10006568,0
10004651,220.10760058473068
10000388,0
10001751,0
10002174,0
10006348,0
10003864,0
10003861,781.3792115877604
10000459,0
10004614,0
10000498,0
10004204,151.32956451163005
10004444,0
10002101,697.9170978217016
10006535,110.8574182932523
10001393,0
10004451,2.237219483373033
10000282,20.1416194552134
10000374,206.4155076022883
10000281,974.8320143058938
10002182,0
10002098,2.036005930009644
10000480,0
10004611,577.8496046933619
10002178,527.4643036122195
10004188,77.7860707283391
10004567,0
10006383,5359.661856895085
10006324,193.19214626193906
10001401,874.738817572804
10004449,0
10001022,58.58055620445389
10004612,0
10001392,227.4329542850188
10001396,114.20106342923823
10001547,0
20000263,0
10000252,72.31322467502919
10001546,0
10002510,443.0956951851923
20000264,0
10002359,51.63275892148049
10001560,52.44767731354402
10006536,0
10004656,798.3366236609422
10000772,0
10006537,0
10001616,4581.229054507185
10006380,344.54453331463714
10000990,0
10003592,205.13985432944975
10003572,75.10167953922009
10003047,18.728963919768518
10001697,129.17089276009563
10002579,0
10000122,0
10004034,4521.042261581631
10002556,0
20000280,2140.170349594926
10000101,0
10001170,0
10000109,0
10006315,35.15918063775879
10000112,0
10000115,0
10003645,48.07422348143571
10000980,0
10000110,0
10003638,311.9140830466653
