object_id,mean_ozone,matched_fips,dist_to_tract_m
300,61.5055,06067007028,749
301,61.5055,06067007028,446
302,66.045,06067007602,338
303,65.094,06067006400,878
304,64.79050000000001,06067006003,327
305,64.79050000000001,06067006003,101
306,66.396,06067007602,69
307,61.5055,06067007028,1259
308,62.5975,06067006705,448
309,63.632000000000005,06067006300,682
310,61.599000000000004,06067007013,0
311,65.066,06067006300,263
312,64.86699999999999,06067006004,2
313,64.86699999999999,06067006004,241
314,65.4425,06067005904,598
315,66.396,06067007602,647
316,66.844,06067007801,917
317,65.066,06067006300,374
318,64.4925,06067006102,454
319,66.383,06067006002,760
320,63.672,06067007011,301
321,64.4925,06067006102,520
322,61.908,06067007024,475
323,62.784000000000006,06067006902,482
324,66.419,06067005601,111
325,66.626,06067005701,165
326,67.30733333333333,06067008908,163
327,65.242,06067006900,210
328,66.017,06067005505,330
329,66.419,06067005601,522
330,65.5335,06067007702,234
331,64.4945,06067005701,344
332,67.30733333333333,06067008908,756
333,61.5895,06113010103,285
334,61.5775,06113010104,507
335,62.0515,06067005301,151
336,66.0645,06067008910,0
337,61.832499999999996,06067000600,304
338,66.808,06067005702,196
339,61.832499999999996,06067000600,119
340,66.2595,06067009008,635
341,52.088,06055202000,30
342,63.650999999999996,06067005510,86
343,67.776,06067009010,679
344,62.0775,06067000400,336
345,63.782,06067005606,0
346,49.079,06097153902,3885
347,67.496,06067009006,942
348,65.8065,06067009007,221
349,67.79,06067009011,1132
350,60.8105,06113010203,957
351,67.707,06067009007,500
352,53.32,06055202000,2365
353,61.9615,06067001300,345
354,64.066,06067009106,573
355,64.605,06067001200,161
356,61.8785,06067001201,100
357,65.108,06067001500,106
358,64.701,06067002000,33
359,59.04900000000001,06113010611,665
360,61.847500000000004,06067001900,143
361,49.874,06097153804,463
362,59.093500000000006,06113010703,371
363,58.959999999999994,06113010701,726
364,59.04900000000001,06113010611,502
365,59.04900000000001,06113010611,228
366,61.069500000000005,06113010313,325
367,61.665000000000006,06067002300,587
368,60.94500000000001,06113010315,326
369,64.376,06067005204,628
370,63.794,06067009108,538
371,59.218,06113010610,499
372,62.014,06067002700,499
373,62.104,06113010608,110
374,66.748,06067009112,467
375,65.304,06067002800,836
376,64.954,06067003700,431
377,62.8125,06067003001,186
378,65.279,06067004402,440
379,65.248,06067004401,480
380,61.3835,06067003300,617
381,65.248,06067004401,137
382,63.612,06113010310,1663
383,64.646,06067003300,258
384,66.1175,06067008707,686
385,63.612,06113010310,1937
386,61.4705,06067003502,274
387,62.0925,06067004401,287
388,56.882,06113011302,814
389,65.163,06067004501,465
390,66.499,06005000200,7069
391,57.0175,06113011303,446
392,64.71,06067003400,544
393,64.802,06067003502,603
394,51.032,06097152701,1818
395,61.902499999999996,06067004602,326
396,62.4155,06067003203,0
397,51.032,06097152701,1998
398,52.954,06055201602,270
399,64.951,06067004100,370
400,64.495,06067004006,0
401,61.307,06067003800,490
402,64.951,06067004100,286
403,62.018499999999996,06067004701,517
404,68.406,06067008600,2458
405,53.602,06055201602,373
406,61.5815,06067004100,461
407,62.0415,06067004702,547
408,64.995,06067003800,776
409,61.5815,06067004100,717
410,68.406,06067008600,2216
411,62.58800000000001,06067005102,786
412,64.485,06067004009,169
413,66.465,06067005102,210
414,61.0835,06067004020,0
415,62.2435,06067005101,0
416,61.1805,06067004201,373
417,61.8695,06067005002,48
418,62.064,06067005003,230
419,61.0835,06067004020,535
420,61.620000000000005,06067004907,328
421,62.8845,06005000201,6033
422,49.462,06097153706,1261
423,51.297,06097152502,162
424,65.621,06067005001,858
425,66.255,06067009318,142
426,61.50149999999999,06067004910,0
427,66.647,06067009316,634
428,51.817499999999995,06097152205,0
429,62.331999999999994,06067009316,266
430,63.254,06067009330,628
431,67.846,06067009330,38
432,50.927,06097152400,1398
433,51.027,06097152501,1163
434,62.5475,06067009311,465
435,50.034,06097152904,814
436,67.065,06067009321,709
437,51.189499999999995,06097152803,208
438,61.429500000000004,06067009633,0
439,50.25,06097152903,419
440,66.417,06067009320,400
441,62.036,06067009317,294
442,50.25,06097152903,205
443,67.61,06067009329,338
444,63.254,06067009330,1621
445,65.778,06067009610,439
446,50.854,06097152300,919
447,57.8545,06095253402,928
448,61.417,06067009335,271
449,50.403,06097153001,322
450,51.465,06097151602,3233
451,57.581500000000005,06095253403,1070
452,49.8975,06097153601,1374
453,51.11866666666667,06097152203,332
454,57.8545,06095253402,179
455,50.124,06097153006,361
456,60.969500000000004,06067009614,71
457,66.263,06067009614,31
458,67.289,06067009323,1018
459,60.820499999999996,06067009643,484
460,67.289,06067009323,105
461,51.453,06097151506,244
462,60.820499999999996,06067009643,509
463,60.977,06067009642,306
464,48.175,06097154306,3499
465,51.321,06097153104,0
466,51.315,06097151404,12
467,51.315,06097151404,225
468,65.744,06067009619,231
469,51.28,06097153103,331
470,51.28,06097153103,157
471,51.275,06097153102,160
472,50.0625,06097153405,213
473,50.31,06097153102,308
474,60.0565,06067009645,3948
475,51.8395,06097151503,1943
476,65.912,06067009622,759
477,59.7445,06067009649,624
478,51.331,06097153302,969
479,53.6065,06055201300,1130
480,65.864,06005000402,1049
481,50.381,06097151402,566
482,59.9015,06067009622,844
483,60.025000000000006,06067009648,209
484,66.783,06067009632,0
485,52.313,06097151602,2570
486,56.25750000000001,06095253206,679
487,66.792,06067009637,442
488,60.7405,06067009310,371
489,67.05,06067009325,4992
490,58.523,06095253201,1027
491,51.5535,06097151505,805
492,58.523,06095253201,835
493,56.149,06095253208,132
494,48.175,06097154306,3994
495,51.289500000000004,06097153202,2030
496,51.5535,06097151505,2763
497,59.476,06095252911,6
498,59.476,06095252911,60
499,56.197,06095253203,412
500,51.391999999999996,06097151308,384
501,55.8735,06095253201,992
502,56.197,06095253203,1044
503,63.3085,06005000303,810
504,50.5375,06097153501,2737
505,63.497,06067009404,4454
506,50.5375,06097153501,1822
507,59.269,06095253105,313
508,48.952,06097153502,3015
509,61.7765,06005000500,4756
510,56.471000000000004,06095253106,520
511,59.343,06095253106,457
512,50.278,06097151306,209
513,51.4875,06097151310,387
514,50.248,06097151305,484
515,56.616,06095252908,400
516,50.305,06097151310,547
517,59.42,06095252913,890
518,54.157333333333334,06055200707,50
519,50.263,06097151203,0
520,56.4745,06095253000,460
521,54.313,06097150305,933
522,54.419,06097150304,646
523,53.844,06055200703,439
524,55.209500000000006,06095252203,3691
525,54.784,06055200503,273
526,53.0635,06097150304,710
527,54.812,06055200201,751
528,56.058499999999995,06095252311,631
529,54.47,06097150204,986
530,53.9745,06055200201,246
531,54.764,06055200301,324
532,54.3485,06055200301,875
533,56.0565,06095252316,527
534,60.027,06095252801,1405
535,50.173,06097151000,3372
536,50.97833333333333,06097150607,212
537,50.221,06097150609,731
538,57.539,06095252611,109
539,67.145,06067009408,6594
540,50.256,06097150610,645
541,51.093,06097150603,469
542,55.888,06095252401,181
543,67.089,06067009504,893
544,67.145,06067009408,1277
545,55.873999999999995,06095252401,318
546,51.2855,06097150901,248
547,55.525499999999994,06095252402,1905
548,56.016999999999996,06095252705,698
549,66.043,06009000300,278
550,60.84700000000001,06009000505,565
551,50.079,06097150902,1110
552,50.457,06097150701,713
553,61.159499999999994,06009000302,3418
554,50.282,06097150702,1634
555,54.5675,06095252204,3634
556,66.587,06051000102,7923
557,53.7915,06055201006,148
558,53.814,06055201007,187
559,53.625,06095251902,733
560,53.974,06095251902,543
561,60.048,06077004501,79
562,69.315,06009000210,5188
563,66.435,06009000122,2334
564,67.753,06077004203,47
565,59.9555,06077004203,192
566,59.83449999999999,06077004205,28
567,66.435,06009000122,968
568,53.4755,06095251901,7
