object_id,trafficProx
1043,37.730208308331555
1044,448.07599788006326
1045,25367.00814477308
1046,9046.630466885139
1047,54.993095442562804
1048,43.303563534195064
1049,42.21585960852403
1050,83.82873636814371
1051,19.425264613840245
1052,757.5160966313382
1053,156248.6863435897
1054,11912.949510138447
1055,6162.738322623961
1056,741.2839154193707
1057,38.36736664816925
1058,24.761787798714177
1059,306.5245890998464
1060,11516.501636557728
1061,209224.23584823354
1062,136562.84313612155
1063,134000
1064,0
1065,10167.70071532649
1066,585.1064059686615
1067,40.3494723504239
1068,55.26761763311274
1069,4130.4566799773265
1070,22274.62878200766
1071,792.7886244916886
1072,596.9813963456719
1073,1181.3669983771908
1074,572.1121986793792
1075,170.28141112940358
1076,833.9960335096504
1077,9048
1078,19091.380854860647
1079,22817
1080,159.03779198393624
1081,450.3169515539555
1082,24562.042856039876
1083,1198.640596498328
1084,94.62302024450788
1085,228.6375645343197
1086,7589.3749521294785
1087,37154.50935407545
1088,2107.4258590661543
1089,177.0695916678409
1090,83.40163410490936
1091,33239.186810279985
1092,15772.822300745844
1093,369.41597030254906
1094,389.68031617188717
1095,815.808851376901
1096,389.45926710118965
1097,411.1900893608025
1098,78.63759180456638
1099,66.64259389509392
1100,229.49644791241184
1101,37224.20687280133
1102,104.20160912644977
1103,1468.102812675738
1104,31054.70810845378
1105,571.4376510733348
1106,138.40696904978205
1107,9028.309093797658
1108,36.80013411242234
1109,6533.988232921665
1110,160.90491116094123
1111,183.6011047047159
1112,16997
1113,4769.066288874624
1114,7163.190227505977
1115,13631.115255204146
1116,1397.4825763892636
1117,192.93198458972546
1118,72.32638734274619
1119,3879.355029303889
1120,7481.931361960982
1121,178.76681775452914
1122,43.764527045030924
1123,34701.65517231
1124,123.60011339821246
1125,1829.5325026309883
1126,554.302382722864
1127,41.33094413247793
1128,0
1129,0
1130,30516.066399733416
1131,41762.442436809484
1132,0
1133,247.87359566309325
1134,0
1135,0
1136,11532.155059786848
1137,444.8353063175907
1138,12580.966862004814
1139,0
1140,64.27701106065558
1141,75.30879832521877
1142,25.51806764665694
1143,36458.15560962382
1144,5760.254077364862
1145,1540.4660677082534
1146,9617.364018762573
1147,35246.803450851105
1148,11432.601254262767
1149,5737.68629046563
1150,5773.128749551547
1151,13937.139903722622
1152,241.68401701787175
1153,4003.091724936416
1154,8829.0597351845
1155,12214
1156,152.54001178844078
1157,1607.5485755825766
1158,11956.427078552335
1159,306.9331651203973
1160,23170.143353244654
1161,1867.816367166584
1162,24.68016169711171
1163,100.79461676768969
1164,35.81432243928975
1165,262.0688738555739
1166,47400.969905005026
1167,167.98133895289112
1168,280.2425921379028
1169,41.16994452084627
1170,117.9170211699423
1171,0
1172,1087.343620608544
1173,851.8686683270714
1174,147.84076255726993
1175,86.19425936790421
1176,2663.870779700368
1177,10114.62906421699
1178,25622.118898024575
1179,115.07350425175774
1180,135.94925390066368
1181,7429.516900765341
1182,324.0528775708202
1183,26.269679641900133
1184,25.538375211061666
1185,0
1186,34818.672948503394
1187,41.57182253281744
1188,22495.40117720308
1189,21875.05612224962
1190,21796.016756142286
1191,21836.096458994878
1192,147.10438377431242
1193,64.24603889737445
1194,18.49781122899697
1195,0
1196,111.29136924262255
1197,124834.3020221631
1198,170.5758290168238
1199,0
1200,15877.011313310526
1201,18677.221244906435
1202,2264.6353401093393
1203,131.7027422375387
1204,328.05629532435455
1205,102.10477736843978
1206,18923.431320930387
1207,18895.30029861655
1208,142.916147754362
1209,1015.7946664254389
1210,1482.0791905618958
1211,52.6139930634437
1212,660.1762867233876
1213,68.27064878133537
1214,30237
1215,54723.35049648476
1216,0
1217,78.01354162412227
1218,19580.08282850358
1219,15.976371142342337
1220,39288
1221,5.09408560564896
1222,3444.87315870147
1223,29.670820732356162
1224,3785
1225,0
1226,0
1227,26806.762985489313
1228,10391.281944471108
1229,183052.4720881633
1230,26250.733082890085
1231,239.37480629121208
1232,338.8102179979774
1233,939.4480875364361
1234,157.36660146428898
1235,213.59237566554384
1236,232082.612627404
1237,28773.022948866517
1238,7168.8730881511565
