object_id,flood_risk_area_m2,flood_risk_percent,wildfire_risk,lst_avg,NLCD_Percent_Tree_Canopy_Cover,flood_risk_area_m2_pcntl,flood_risk_percent_pcntl,wildfire_risk_pcntl,lst_avg_pcntl,NLCD_Percent_Tree_Canopy_Cover_pcntl,NLCD_Percent_Tree_Canopy_Cover_pcntl_pcntl,climate_score
51,1426453.5769888605,45.33782355609658,0,37.5847609037683,2.1937875064231607,94.11764705882352,94.11764705882352,6.2745098039215685,64.31372549019608,74.90196078431373,74.90196078431373,52.12371093954294
52,1140956.154239561,36.26369203391888,4.044444444444444,39.31157631032097,2.6405756277768107,88.77005347593582,88.77005347593582,35.68627450980392,72.94117647058823,72.94117647058823,72.94117647058823,69.12875643405982
53,NA,NA,1.2608695652173914,49.970182149362515,0.4653213426991673,NA,NA,21.568627450980394,92.54901960784314,87.05882352941177,87.05882352941177,62.367018086260366
54,0,0,113.13953488372093,30.34866727548897,54.22446315640935,25.13368983957219,25.13368983957219,85.49019607843137,16.862745098039216,5.098039215686274,5.098039215686274,16.944440734018265
55,0,0,99.68181818181819,53.36805309734517,0,25.13368983957219,25.13368983957219,81.96078431372548,96.07843137254902,100,100,60.64440676610389
56,1011.4215743814095,0.03221459344439974,45.88095238095238,36.040211267605656,20.31309224125579,26.203208556149733,26.203208556149733,67.84313725490196,56.07843137254902,28.627450980392155,28.627450980392155,35.900129431077666
57,NA,NA,18.452380952380953,39.07208849557525,4.0586421755236515,NA,NA,49.411764705882355,70.98039215686275,66.27450980392156,66.27450980392156,62.64918878194319
58,NA,NA,26.318181818181817,27.0534275618375,16.456048653060865,NA,NA,55.68627450980392,3.9215686274509802,32.15686274509804,32.15686274509804,21.799113462506373
59,0,0,157.6818181818182,32.35881625441698,28.657659093263153,25.13368983957219,25.13368983957219,89.01960784313725,32.15686274509804,20,20,29.96093118777872
61,727494.4474894681,23.142291582874723,411.2093023255814,31.36920819248363,52.481251451390406,77.00534759358288,77.00534759358288,98.0392156862745,23.52941176470588,5.88235294117647,5.88235294117647,27.916382340605608
62,777256.9135706954,24.72567706407932,385.6,32.58455882352945,44.52119806068173,79.14438502673798,79.14438502673798,97.25490196078431,34.11764705882353,8.235294117647058,8.235294117647058,33.484835506503636
63,62633.73761893207,1.992711420581397,67.60975609756098,35.35172839506176,26.827371914672796,36.36363636363637,36.36363636363637,73.33333333333333,50.19607843137255,22.35294117647059,22.35294117647059,36.6715440588043
64,576164.4107598263,18.331495705997124,36.4390243902439,41.06525573192243,13.808654431640354,70.05347593582889,70.05347593582889,62.35294117647059,77.25490196078432,38.03921568627451,38.03921568627451,56.974988464106474
65,70712.1276044892,2.2566282545902285,32.81818181818182,24.08156682027652,62.88409219338281,37.4331550802139,37.4331550802139,60.3921568627451,0.39215686274509803,2.7450980392156863,2.7450980392156863,7.9373980049653605
66,0,0,16.976190476190474,45.23593639575975,0.11605032943502828,25.13368983957219,25.13368983957219,48.23529411764706,87.05882352941177,92.15686274509804,92.15686274509804,53.14441105591397
67,1838.0257048775159,0.05858193681530102,0.5609756097560976,30.93026501766787,17.889106780298427,27.27272727272727,27.27272727272727,16.07843137254902,21.176470588235293,30.980392156862745,30.980392156862745,24.981664377306245
68,NA,NA,0.5952380952380952,32.18440917107587,21.880055364831744,NA,NA,17.254901960784313,30.58823529411765,26.27450980392157,26.27450980392157,24.56880541460978
69,1203493.4770231622,38.372349605239634,15.261904761904763,34.55587412587415,4.12283086819788,89.3048128342246,89.3048128342246,47.05882352941176,46.27450980392157,65.49019607843137,65.49019607843137,64.86556428863057
70,285269.2516493345,9.069372828133131,44.07142857142857,42.01996466431099,3.2594644095828103,54.54545454545454,54.54545454545454,66.27450980392156,80,69.41176470588235,69.41176470588235,65.08336047047528
71,NA,NA,85.06818181818181,28.104911660777415,27.21527225083931,NA,NA,79.2156862745098,6.666666666666667,21.96078431372549,21.96078431372549,22.464869794124073
72,NA,NA,85.06818181818181,28.104911660777415,27.21527225083931,NA,NA,79.2156862745098,6.666666666666667,21.96078431372549,21.96078431372549,22.464869794124073
73,2759979.263064016,87.72750171622316,0.5714285714285714,39.39238805970152,6.924381263968974,97.86096256684492,97.86096256684492,16.470588235294116,73.33333333333333,57.647058823529406,57.647058823529406,58.0939136932521
74,1077179.6989355688,34.239794513628766,8.377777777777778,37.54887717598123,6.5260267417151345,87.16577540106952,87.16577540106952,41.568627450980394,63.921568627450974,59.6078431372549,59.6078431372549,64.45926066401346
75,105121.1970982075,3.3547212195899108,18.738095238095237,26.37444003405202,35.04320598213985,42.780748663101605,42.780748663101605,50.19607843137255,1.9607843137254901,16.862745098039216,16.862745098039216,19.27120275568858
76,NA,NA,12.023809523809524,30.318198124396318,7.681321774822433,NA,NA,45.88235294117647,16.07843137254902,56.07843137254902,56.07843137254902,39.02745825958224
77,123365.40291816789,3.939056786872589,0,34.05570422535213,7.978780953893086,44.919786096256686,44.919786096256686,6.2745098039215685,42.745098039215684,55.68627450980392,55.68627450980392,34.47251488374173
78,0,0,72.72093023255815,39.14173387096778,12.94200321888168,25.13368983957219,25.13368983957219,74.90196078431373,72.15686274509804,39.6078431372549,39.6078431372549,41.82869221678294
79,54651.15943203277,1.7419936134909504,0,34.76098422190299,9.953494607164847,35.294117647058826,35.294117647058826,6.2745098039215685,47.05882352941176,47.45098039215686,47.45098039215686,30.64450784641476
80,512028.3021846891,16.331867882157876,1.380952380952381,32.898395061728415,11.775356848088808,67.9144385026738,67.9144385026738,22.745098039215687,37.64705882352941,42.745098039215684,42.745098039215684,43.95948760348891
81,NA,NA,7.534883720930233,54.56226148409897,0.00318970379534951,NA,NA,39.6078431372549,97.6470588235294,96.47058823529412,96.47058823529412,77.45644374088586
82,NA,NA,21.511111111111113,27.661201413427587,24.334881005653862,NA,NA,52.54901960784314,5.490196078431373,24.313725490196077,24.313725490196077,20.32187954536125
83,632102.4693090544,20.146742408125583,0,35.811964601769944,5.223604890806673,71.65775401069519,71.65775401069519,6.2745098039215685,54.509803921568626,62.35294117647059,62.35294117647059,43.55611297276321
84,57723.99692557302,1.8394025886739995,112.52380952380952,28.172915194346324,72.41086102016955,35.82887700534759,35.82887700534759,85.09803921568627,7.0588235294117645,1.1764705882352942,1.1764705882352942,10.10912119434133
85,0,0,5.190476190476191,39.06982300884959,0.03106963453491933,25.13368983957219,25.13368983957219,37.254901960784316,70.58823529411765,94.90196078431372,94.90196078431372,49.63977114185569
86,1345927.579609831,42.91724107495732,26.11627906976744,32.265858407079676,17.986653886862392,92.51336898395722,92.51336898395722,55.294117647058826,30.980392156862745,30.58823529411765,30.58823529411765,48.926852719744346
87,1648721.9086057232,52.47840491230519,44.04761904761905,54.39056537102478,0.03104127346013781,95.72192513368985,95.72192513368985,65.88235294117646,97.25490196078431,95.29411764705881,95.29411764705881,90.04769618703968
88,NA,NA,227.75,32.598692579505325,65.50350055421653,NA,NA,92.94117647058823,34.509803921568626,2.3529411764705883,2.3529411764705883,11.543651294221009
89,441588.5416329631,14.072247655779474,93.75,34.45063716814161,7.021160714387177,64.70588235294117,64.70588235294117,80.3921568627451,45.09803921568628,56.86274509803921,56.86274509803921,60.50887594961816
90,0,0,30.86046511627907,47.33437389770726,0,25.13368983957219,25.13368983957219,58.82352941176471,90.98039215686275,100,100,56.86371519975522
91,905846.3917783818,28.921564412749323,0.36585365853658536,26.532500000000034,6.905991339516803,82.35294117647058,82.35294117647058,12.941176470588237,2.3529411764705883,58.03921568627452,58.03921568627452,29.766722674437265
92,172270.8811560331,5.497564208176273,32.15909090909091,29.607231040564397,39.81330529813123,50.80213903743316,50.80213903743316,59.6078431372549,12.156862745098039,11.372549019607844,11.372549019607844,24.9613129683202
93,390464.83198043914,12.438846767109277,1.7209302325581395,36.411975308642006,14.377525374522143,61.49732620320856,61.49732620320856,25.882352941176475,57.647058823529406,36.470588235294116,36.470588235294116,44.24828936273023
94,337563.3559325098,10.74954747067467,60.27906976744186,46.05090452261311,1.0910023356674845,58.288770053475936,58.288770053475936,71.37254901960785,90.19607843137256,83.52941176470588,83.52941176470588,73.10177382869904
95,NA,NA,103.27906976744185,35.22280423280427,23.82017529398524,NA,NA,83.52941176470588,49.411764705882355,24.705882352941178,24.705882352941178,39.83984420495914
96,527335.0439164202,16.80441621961149,0.1590909090909091,35.6489045936396,8.083784751223002,69.5187165775401,69.5187165775401,10.980392156862745,53.72549019607843,54.90196078431373,54.90196078431373,45.258091897378634
97,527335.0439164202,16.80441621961149,0.1590909090909091,35.6489045936396,8.083784751223002,69.5187165775401,69.5187165775401,10.980392156862745,53.72549019607843,54.90196078431373,54.90196078431373,45.258091897378634
98,86.90206216581763,0.002771037736704357,2.880952380952381,31.97888888888892,4.962450969926704,25.668449197860966,25.668449197860966,31.76470588235294,28.627450980392155,63.921568627450974,63.921568627450974,36.711624672384914
99,NA,NA,0.4523809523809524,30.986761061946943,15.812350612997928,NA,NA,14.117647058823529,21.568627450980394,33.72549019607843,33.72549019607843,24.2591367563169
100,172582.81397578525,5.503281136369185,25.41860465116279,30.61773484994231,37.32639071076417,51.33689839572193,51.33689839572193,54.90196078431373,18.823529411764707,14.117647058823529,14.117647058823529,28.561354585905523
101,NA,NA,57.47826086956522,26.80674911660782,24.90108540993911,NA,NA,70.58823529411765,3.1372549019607843,23.92156862745098,23.92156862745098,18.867543506277777
102,NA,NA,0.09302325581395349,34.237006203890026,12.056703062546934,NA,NA,9.019607843137255,43.529411764705884,41.17647058823529,41.17647058823529,28.563878218557775
103,NA,NA,1.7209302325581395,40.69684303350974,0.6460856512221731,NA,NA,25.882352941176475,76.47058823529412,85.49019607843137,85.49019607843137,61.671243179106426
